Date,Nedbank Eswatini,Royal Swazi Sugar,SWD Empowerment Limited,SWAPROP,Greystone,SBC Limited,Inala Capital Limited,NPC Limited,FNB Limited
2024-04-02,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-04-01,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-31,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-30,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-29,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-28,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-27,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-26,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-25,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-24,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-23,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-22,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-21,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-20,14.5,15.2,39,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-19,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-18,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-17,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-16,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-15,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-14,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-13,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-12,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-11,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-10,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-09,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-08,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-07,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-06,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-05,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-04,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-03,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-02,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-03-01,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-29,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-28,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-27,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-26,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-25,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-24,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-23,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-22,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-21,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-20,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-19,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-18,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-17,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-16,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-15,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-14,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-13,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
